Paese,Clic,Impressioni,CTR,Posizione
Italia,147967,5584921,2.65%,7.11
Spagna,2297,53937,4.26%,8.09
Francia,619,20323,3.05%,9.58
Svizzera,610,28637,2.13%,7.09
Germania,581,26199,2.22%,8.89
Stati Uniti,580,69960,0.83%,11.56
Polonia,236,5966,3.96%,9.29
Regno Unito,179,18683,0.96%,12.41
San Marino,161,6185,2.6%,6.72
Romania,132,8787,1.5%,6.99
Belgio,129,5017,2.57%,7.54
Paesi Bassi,123,6669,1.84%,7.96
Austria,104,4253,2.45%,8.42
Argentina,100,5369,1.86%,15.3
Bulgaria,97,2266,4.28%,7.18
Croazia,90,3029,2.97%,7.17
Brasile,80,14460,0.55%,19.6
Slovenia,78,2409,3.24%,7.42
Albania,74,3098,2.39%,7.23
Portogallo,62,2424,2.56%,8.55
Grecia,59,3172,1.86%,7.98
Slovacchia,56,1700,3.29%,7.75
Messico,53,5970,0.89%,13.45
Canada,40,5441,0.74%,10.94
Repubblica Ceca,40,5105,0.78%,7.76
Giappone,40,3576,1.12%,10.06
Australia,40,2323,1.72%,9.84
Turchia,39,4545,0.86%,10.91
Ucraina,38,2119,1.79%,11.4
Ungheria,37,1969,1.88%,8.73
Russia,35,3382,1.03%,15.75
Malta,35,1318,2.66%,6.49
Israele,35,1205,2.9%,11.07
Lussemburgo,32,1093,2.93%,6.41
Irlanda,25,1537,1.63%,9.9
Tunisia,25,1397,1.79%,10.58
Danimarca,25,1226,2.04%,7.7
Svezia,24,1718,1.4%,8.24
Marocco,22,2644,0.83%,13.77
Cile,21,1753,1.2%,13.19
Algeria,21,1727,1.22%,15.84
Venezuela,20,2029,0.99%,20.43
Monaco,20,383,5.22%,8.52
Estonia,20,318,6.29%,6.95
Tailandia,19,3066,0.62%,13.08
Uruguay,18,1548,1.16%,9.59
Moldavia,17,825,2.06%,7.21
Lituania,17,711,2.39%,9.32
India,15,10832,0.14%,17.85
Colombia,15,3667,0.41%,15.89
Vietnam,15,3271,0.46%,16.58
Egitto,15,2900,0.52%,14.74
Norvegia,15,1036,1.45%,7.92
Macedonia,14,497,2.82%,7.31
Perù,13,2078,0.63%,16.11
Iraq,13,1245,1.04%,17.16
Finlandia,13,1087,1.2%,8.34
Regione sconosciuta,13,330,3.94%,14.31
Cina,12,1257,0.95%,7.69
Emirati Arabi Uniti,12,1204,1%,10.15
Libia,12,303,3.96%,10.26
Maldive,11,177,6.21%,7.28
Filippine,10,4039,0.25%,19.25
